I,I_dm,I_sample,N,n,eps,error,lmbd,phi,Rough,Sampling,Derivative Method,Brute
0.0,3927.6395114029583,4567.955064083736,100,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,3852.925374303595,4678.853687623582,100,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,5060.903731646249,6690.7720033633705,100,500,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,5129.905957801384,5932.825914440858,100,500,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,346.790756111659,195.25869266140398,100,50,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,844.270076072462,558.2102305808154,100,100,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,1817.7679805830849,1181.9652797422607,100,200,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2848.94014157544,2393.0077640580116,100,300,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,3941.042336919054,3085.7784399675816,100,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,5017.483886149421,5476.369086849164,100,500,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,5951.880552856892,5764.239064272166,100,600,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,815.7775859274357,431.0887333775352,1000,100,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,1798.5031277589753,1297.529959436014,1000,200,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2852.851324064426,2310.0897342063035,1000,300,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,3942.755824937192,3560.474516846016,1000,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,4993.460294144818,4026.6235541039878,1000,500,0.25,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2894.4735959157697,2452.0338773780018,500,300,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,3919.246637451579,3246.1160764958436,500,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,4987.701004210976,4236.598102586671,500,500,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,5194.169091282674,4236.370729110491,500,500,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,936.7194095943887,843.7928528643572,1000,100,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,2008.4010827758905,1644.4308155416888,1000,200,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,3103.1024150252056,2628.506885904259,1000,300,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,4179.656656333464,3620.9446074492125,1000,400,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,4158.958972766413,3257.3418939856306,1000,400,0.15,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,889.3540837107139,754.4955031374719,1000,100,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,1871.9681520451559,1783.1326462424174,1000,200,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,2929.3640579908238,2500.6532944059963,1000,300,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,3976.527835902743,3621.1294805381194,1000,400,0.25,0.0,0.8,0.7853981633974483,True,False,True,True
