I,I_dm,I_sample,N,n,eps,error,lmbd,phi,Rough,Sampling,Derivative Method
7.295343587176499e+37,0,179.7732302808392,1000,300,0.25,5.924301873227567e+37,0.8,0.7853981633974483,True,True,False
35094153896.725945,0,61.07115235496381,2000,50,0.25,18433852484.08087,0.8,0.7853981633974483,True,True,False
27622.69721070552,0,283.6082903368082,8,50,0.25,25611.745807249852,0.8,0.7853981633974483,True,True,False
0.0,0,935.0324495630756,100,300,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,186.1941356242086,24,50,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,346.1516511380892,1000,100,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,651.468033748186,1000,200,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,1116.2516752587737,1000,300,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,1407.3495207418898,1000,400,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,1793.1605135582167,1000,500,0.25,0.0,0.8,0.7853981633974483,True,False,False
0.0,0,4097.8830740138565,1000,1000,0.25,0.0,0.8,0.7853981633974483,True,False,False
